Cyber Vulnerability to RICO Fraud Correlation Analysis
=====================================================

SUMMARY OF STATISTICAL CORRELATION:
  - Correlation between Exposed Endpoints Count and Total PPP Amount:
    * Pearson r  : 0.9738
    * Spearman rs: 0.2352

  - Correlation between Exposed Endpoints Count and Total PPP Loan Count:
    * Pearson r  : 0.9083
    * Spearman rs: 0.2478

STATE-BY-STATE MERGED FORENSIC MATRIX:
State  | Exposed    | Total Scans | Vuln Rate  | Total PPP Amt    | Loans  | Forgiven Amt    
--------------------------------------------------------------------------------------------
CA     | 495        | 495         | 100.0000%  | $10,344,405.60   | 52     | $9,227,872.38   
AK     | 26         | 26          | 100.0000%  | $1,577,121.00    | 4      | $1,591,838.39   
TX     | 26         | 26          | 100.0000%  | $1,365,723.42    | 15     | $1,240,092.78   
MI     | 26         | 26          | 100.0000%  | $1,225,096.50    | 8      | $1,235,647.46   
NJ     | 6          | 6           | 100.0000%  | $718,502.00      | 6      | $119,595.89     
IN     | 26         | 26          | 100.0000%  | $585,527.00      | 1      | $593,416.98     
FL     | 26         | 26          | 100.0000%  | $563,914.48      | 12     | $568,096.52     
CO     | 26         | 26          | 100.0000%  | $474,664.67      | 7      | $476,304.85     
OR     | 26         | 26          | 100.0000%  | $405,173.61      | 5      | $397,085.97     
WY     | 25         | 25          | 100.0000%  | $368,537.05      | 6      | $371,971.01     
NY     | 26         | 26          | 100.0000%  | $316,465.00      | 8      | $171,499.98     
NC     | 26         | 26          | 100.0000%  | $287,544.50      | 7      | $289,766.38     
AZ     | 26         | 26          | 100.0000%  | $275,293.47      | 12     | $277,446.72     
MN     | 24         | 24          | 100.0000%  | $264,412.00      | 9      | $263,716.48     
NV     | 26         | 26          | 100.0000%  | $249,173.00      | 10     | $251,466.81     
UT     | 26         | 26          | 100.0000%  | $227,687.48      | 9      | $230,687.80     
RI     | 26         | 26          | 100.0000%  | $225,764.00      | 4      | $228,235.69     
OK     | 26         | 26          | 100.0000%  | $215,175.00      | 6      | $217,363.42     
IL     | 26         | 26          | 100.0000%  | $191,104.50      | 7      | $122,708.90     
DE     | 8          | 8           | 100.0000%  | $157,385.87      | 2      | $158,770.00     
IA     | 26         | 26          | 100.0000%  | $148,800.00      | 8      | $149,846.51     
ND     | 3          | 3           | 100.0000%  | $142,800.00      | 3      | $143,831.34     
KS     | 26         | 26          | 100.0000%  | $140,038.00      | 9      | $140,776.49     
WA     | 12         | 12          | 100.0000%  | $123,795.00      | 5      | $124,792.77     
VA     | 26         | 26          | 100.0000%  | $115,416.00      | 5      | $108,575.38     
GA     | 11         | 11          | 100.0000%  | $62,957.00       | 3      | $36,914.98      
AL     | 26         | 26          | 100.0000%  | $54,380.00       | 3      | $54,749.38      
AR     | 7          | 7           | 100.0000%  | $48,800.00       | 1      | $49,181.04      
WV     | 26         | 26          | 100.0000%  | $46,500.00       | 1      | $47,101.92      
LA     | 26         | 26          | 100.0000%  | $38,652.00       | 2      | $38,936.93      
CT     | 26         | 26          | 100.0000%  | $29,400.00       | 3      | $29,600.01      
PA     | 4          | 4           | 100.0000%  | $28,067.00       | 1      | $28,378.86      
PR     | 6          | 6           | 100.0000%  | $27,900.00       | 2      | $28,094.85      
TN     | 26         | 26          | 100.0000%  | $19,128.00       | 1      | $19,369.07      
MS     | 26         | 26          | 100.0000%  | $17,100.00       | 2      | $17,212.02      
HI     | 26         | 26          | 100.0000%  | $12,900.00       | 1      | $13,059.75      
WI     | 26         | 26          | 100.0000%  | $1,457.00        | 1      | $1,460.76       
NM     | 26         | 26          | 100.0000%  | $0.00            | 0      | $0.00           
ID     | 5          | 5           | 100.0000%  | $0.00            | 0      | $0.00           
