BorrowerName,BorrowerCity,BorrowerState,BorrowerZip,CurrentApprovalAmount,ForgivenessAmount,DateApproved,LoanStatus,BusinessType,NAICSCode,NonProfit,Gender,Veteran,JobsReported,ForgivenessDate,ServicingLenderName,OriginatingLender,OriginatingLenderCity,OriginatingLenderState
DENDREON PHARMACEUTICALS LLC,Seal Beach,CA,90740-5618,10000000.0,10133661.11,04/14/2020,Paid in Full,Limited  Liability Company(LLC),325412,,Unanswered,Unanswered,500.0,08/19/2021,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL
"QSC, LLC",Costa Mesa,CA,92626-1440,10000000.0,10116511.11,04/08/2020,Paid in Full,Limited  Liability Company(LLC),334310,,Unanswered,Unanswered,500.0,06/11/2021,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL
GOODWILL INDUSTRIES OF ORANGE COUNTY CA,Santa Ana,CA,92703-3412,10000000.0,10101095.89,05/23/2021,Paid in Full,501(c)3 ¿ Non Profit,453310,,Unanswered,Unanswered,500.0,06/23/2022,"Lendistry SBLC, LLC","BSD Capital, LLC dba Lendistry",Brea,CA
MANGAN INC,Long Beach,CA,90810,9437381.0,9340835.38,04/27/2020,Paid in Full,Corporation,541330,,Unanswered,Unanswered,425.0,03/18/2021,"U.S. Bank, National Association",US Bank National Association,San Francisco,CA
"BAR BAKERS, LLC",Los Alamitos,CA,90720-2503,8559575.0,8639542.54,08/04/2020,Paid in Full,Limited  Liability Company(LLC),311812,,Male Owned,Unanswered,500.0,07/21/2021,"Harvest Small Business Finance, LLC","Harvest Small Business Finance, LLC",Laguna Hills,CA
"OBAGI COSMECEUTICALS, LLC",Long Beach,CA,90806,6750000.0,6823972.6,04/27/2020,Paid in Full,Limited  Liability Company(LLC),325412,,Unanswered,Unanswered,171.0,06/11/2021,"U.S. Bank, National Association",US Bank National Association,San Francisco,CA
"STRAUB DISTRIBUTING COMPANY, LTD",Anaheim,CA,92807-1909,4370992.0,4422513.85,04/09/2020,Paid in Full,Partnership,424810,,Unanswered,Unanswered,319.0,06/17/2021,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL
LANDSEA HOLDINGS CORPORATION,Newport Beach,CA,92660,4265605.0,4313520.02,04/15/2020,Paid in Full,Corporation,236117,,Unanswered,Unanswered,285.0,06/09/2021,Farmers & Merchants Bank of Long Beach,Farmers & Merchants Bank of Long Beach,LONG BEACH,CA
BORBON INC.,Anaheim,CA,92801,4085897.0,4147412.45,04/30/2020,Paid in Full,Subchapter S Corporation,238320,,Unanswered,Unanswered,192.0,11/01/2021,BMO Bank National Association,BMO Bank National Association,San Francisco,CA
"SARES REGIS OPERATING COMPANY, L.P.",Newport Beach,CA,92660,3999995.0,4052550.49,04/30/2020,Paid in Full,Partnership,236117,,Unanswered,Unanswered,184.0,08/25/2021,BMO Bank National Association,BMO Bank National Association,San Francisco,CA
HISTORIC MISSION INN CORPORATION,Newport Beach,CA,92660-2423,3912700.0,,03/16/2021,Paid in Full,Subchapter S Corporation,721110,,Unanswered,Unanswered,300.0,,Fifth Third Bank,Fifth Third Bank,CINCINNATI,OH
"MOONSTONE PEO, INC.",Anaheim,CA,92801,3867456.0,,05/01/2020,Exemption 4,Corporation,999990,,Unanswered,Unanswered,465.0,,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC
"BEST INTERIORS, INC.",Anaheim,CA,92806,3813800.0,3856013.02,04/28/2020,Paid in Full,Subchapter S Corporation,238310,,Male Owned,Unanswered,244.0,06/09/2021,"Zions Bank, A Division of","Zions Bank, A Division of",SALT LAKE CITY,UT
"MILLIE AND SEVERSON, INC.",Los Alamitos,CA,90720-2440,3695930.0,3737344.67,04/13/2020,Paid in Full,Corporation,238990,,Unanswered,Unanswered,203.0,06/11/2021,"U.S. Bank, National Association",US Bank National Association,San Francisco,CA
"BALBOA BAY CLUB VENTURES, LLC",Newport Beach,CA,92663-5001,3631668.0,3673656.05,04/12/2020,Paid in Full,Limited  Liability Company(LLC),721110,,Unanswered,Unanswered,243.0,06/16/2021,Farmers & Merchants Bank of Long Beach,Farmers & Merchants Bank of Long Beach,LONG BEACH,CA
SEGERSTROM CENTER FOR THE ARTS,Costa Mesa,CA,92626,3546030.0,3607041.15,05/01/2020,Paid in Full,Corporation,711310,,Unanswered,Unanswered,242.0,01/24/2022,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC
"STATCO ENGINEERING & FABRICATORS, INC.",Huntington Beach,CA,92647-6787,3395774.0,3435246.1,04/09/2020,Paid in Full,Subchapter S Corporation,333241,,Unanswered,Unanswered,189.0,06/11/2021,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL
"JBI INTERIORS, LLC",Long Beach,CA,90810,3372610.0,3419734.14,04/30/2020,Paid in Full,Limited  Liability Company(LLC),337127,,Unanswered,Unanswered,285.0,10/08/2021,"Harvest Small Business Finance, LLC","Harvest Small Business Finance, LLC",Laguna Hills,CA
MATRIX ENVIRONMENTAL INC.,Long Beach,CA,90805-4417,3362600.0,3414626.89,05/01/2020,Paid in Full,Corporation,238990,,Unanswered,Unanswered,145.0,12/13/2021,"Newtek Small Business Finance, Inc.","Newtek Small Business Finance, Inc.",LAKE SUCCESS,NY
"GITIBIN AND ASSOCIATES, INC",Newport Beach,CA,92660-1810,3318200.0,3358479.26,04/16/2020,Paid in Full,Corporation,532111,,Male Owned,Unanswered,296.0,06/29/2021,CommerceWest Bank,CommerceWest Bank,Irvine,CA
ARGUS MANAGEMENT COMPANY LLC,Long Beach,CA,90804,3306882.0,3345205.59,05/01/2020,Paid in Full,Limited  Liability Company(LLC),561210,,Unanswered,Unanswered,447.0,07/01/2021,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC
CALVARY CHAPEL COSTA MESA,Santa Ana,CA,92704-7014,3200640.0,3222422.13,03/18/2021,Paid in Full,501(c)3 ¿ Non Profit,813110,,Unanswered,Unanswered,470.0,11/26/2021,Cass Commercial Bank,Cass Commercial Bank,SAINT LOUIS,MO
HOMEXPRESS MORTGAGE CORP,Santa Ana,CA,92705-5733,3190200.0,3250333.08,04/16/2020,Paid in Full,Corporation,531390,,Unanswered,Non-Veteran,166.0,03/16/2022,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",San Francisco,CA
"PIONEER CIRCUITS, INC.",Santa Ana,CA,92704,3077900.0,3126893.42,04/14/2020,Paid in Full,Sole Proprietorship,453998,,Male Owned,Non-Veteran,283.0,12/06/2021,Customers Bank,"Readycap Lending, LLC",BERKELEY HEIGHTS,NJ
"MAGTEK, INC.",Seal Beach,CA,90740-5617,3000000.0,3032666.67,04/27/2020,Paid in Full,Corporation,334118,,Female Owned,Veteran,231.0,06/15/2021,"Citibank, N.A.","Citibank, N.A.",Sioux Falls,SD
