BorrowerName,BorrowerCity,BorrowerState,BorrowerZip,CurrentApprovalAmount,ForgivenessAmount,DateApproved,LoanStatus,BusinessType,NAICSCode,NonProfit,Gender,Veteran,JobsReported,ForgivenessDate
WAYMAKERS,SANTA ANA,CA,92705-5634,3495600.0,651692.55,04/06/2020,Paid in Full,Non-Profit Organization,624190,Y,Unanswered,Unanswered,288.0,09/10/2021
"MERCY HOUSE LIVING CENTERS, INC.",SANTA ANA,CA,92701-3821,1339000.0,1348904.93,04/13/2020,Paid in Full,Non-Profit Organization,624221,Y,Male Owned,Unanswered,259.0,01/12/2021
TRANSITIONAL HOUSING CORPORATION,WASHINGTON,DC,20011-3847,937187.0,528375.02,04/10/2020,Paid in Full,Non-Profit Organization,624229,Y,Unanswered,Unanswered,82.0,09/13/2021
FAMILIES FORWARD INC.,IRVINE,CA,92618-2702,588100.0,598734.14,04/13/2020,Paid in Full,Non-Profit Organization,624229,Y,Unanswered,Unanswered,52.0,02/07/2022
"CONTRA COSTA INTERFAITH TRANSITIONAL HOUSING, INC.",PLEASANT HILL,CA,94523-2200,580705.0,584825.62,04/15/2020,Paid in Full,Non-Profit Organization,624229,Y,Unanswered,Unanswered,58.0,01/07/2021
AMERICAN FAMILY HOUSING,MIDWAY CITY,CA,92655-1432,482113.0,487317.18,04/07/2020,Paid in Full,Non-Profit Organization,624229,Y,Male Owned,Unanswered,38.0,05/13/2021
"HOUSE OF HOPE TRANSITIONAL HOUSING PROGRAM, INC.",Atlanta,GA,30331,310000.0,,05/19/2020,Charged Off,Corporation,621111,,Unanswered,Unanswered,15.0,
KINGDOM BUILDERS TRANSITIONAL HOUSING PROGRAM,Oakland,CA,94601-1018,173540.0,174538.45,05/12/2021,Paid in Full,Corporation,624229,,Unanswered,Unanswered,23.0,02/07/2022
KINGDOM BUILDERS TRANSITIONAL HOUSING PROGRAM,Oakland,CA,94601-1018,163900.0,164841.52,04/10/2020,Paid in Full,Corporation,813319,,Unanswered,Unanswered,15.0,02/12/2021
"MERCY HOUSE OF THE SOUTHERN TIER, INC.",Endicott,NY,13760,141662.0,142473.16,04/15/2020,Paid in Full,Non-Profit Organization,621610,Y,Unanswered,Unanswered,22.0,11/17/2020
GOD SENT TRANSITIONAL HOUSING INC,Powder Spgs,GA,30127-3893,139609.0,140614.95,02/22/2021,Paid in Full,Corporation,621399,,Unanswered,Unanswered,7.0,11/17/2021
OC UNITED TOGETHER,FULLERTON,CA,92832-1713,129383.0,130698.1,04/13/2020,Paid in Full,Corporation,813110,,Male Owned,Unanswered,15.0,04/28/2021
