owner_name,property_address,apn,last_sale_value,last_sale_date,property_mail_address,property_mail_city,ppp_loan_count,ppp_total_amount,ppp_total_forgiven,ppp_names,loan_locations,loan_statuses
STEWART INDUSTRIES LLC,3311 BOUNTY CIR,178-431-14,0.0,05/04/2021,1077 PACIFIC COAST HWY # 247,SEAL BEACH,2,1128327.5,1137910.56,STEWART INDUSTRIES LLC,"Battle Creek, MI; BATTLE CREEK, MI",Paid in Full
TRIUMVIRATE LLC,21951 BROOKHURST ST,151-234-09,2800000.0,11/19/2021,9874 RARITAN AVE,FOUNTAIN VALLEY,1,852740.0,859751.42,TRIUMVIRATE LLC,"Anchorage, AK",Paid in Full
LAZER LLC,7782 RONALD DR,165-302-05,0.0,04/19/2011,41156 CALLE SAN LEON,INDIO,1,600000.0,,LAZER LLC,"SADDLE RIVER, NJ",Paid in Full
INCUPLACE LLC,88 FAIR DR,988-007-23,,,PO BOX 3772,ALHAMBRA,2,588619.0,593392.8,INCUPLACE LLC,"MARINA DEL REY, CA; Marina del Rey, CA",Paid in Full
NEWPORT LLC,4340 VON KARMAN AVE STE 205,934-057-17,,,640 N DIAMOND BAR BLVD,DIAMOND BAR,1,536590.0,540721.01,NEWPORT LLC,"SAN FRANCISCO, CA",Paid in Full
PACE RECOVERY CENTER LLC,528 16TH ST,023-148-33,1400000.0,07/27/2017,3197 AIRPORT LOOP DR STE B,COSTA MESA,1,510549.0,515612.53,PACE RECOVERY CENTER LLC,"NEWPORT BEACH, CA",Paid in Full
HB LLC,9472 RAMBLER DR,149-053-07,1127000.0,06/04/2019,16340 75TH PL W,EDMONDS,3,444400.0,448372.27,HB LLC,"PROVIDENCE, RI; LONG BEACH, CA; Long Beach, CA",Paid in Full
RAV LLC,1 MAIN ST,988-150-06,,,175 CHESTNUT ST,SAN FRANCISCO,2,392800.0,397374.6,RAV LLC,"MYRTLE BEACH, SC; Myrtle Beach, SC",Paid in Full
2450 COLORADO BLVD LLC,16255 PACIFIC CIR APT 306,936-770-15,385000.0,02/21/2012,9025 S 1300 E,SANDY,2,376000.0,,2450 COLORADO BLVD LLC,"Chatsworth, CA",Exemption 4
THE LE FAMILY LLC,16752 JEFFREY CIR,107-662-06,0.0,06/28/2019,2279 EAGLE GLEN PKWY # 112-461,CORONA,2,366700.0,371325.67,THE LE FAMILY LLC,"Killeen, TX; KILLEEN, TX",Paid in Full
