owner_name,property_address,apn,last_sale_value,last_sale_date,property_mail_address,property_mail_city,matched_entity_name,matched_entity_type,entity_address,entity_city,entity_state,entity_ein,ppp_borrower_name,ppp_borrower_city,ppp_borrower_state,ppp_amount,ppp_loan_number,ppp_loan_status,ppp_lender,ppp_lender_city,ppp_lender_state,ppp_date_approved
AIMS LLC,16091 BEACH BLVD,142-082-35,4600000.0,01/18/2017,15142 SOBEY RD,SARATOGA,,,,,,,AIMS LLC,SPRINGFIELD,MO,41250.0,2912487305,Paid in Full,Great Southern Bank,Springfield,MO,04/29/2020
ON THE EDGE DESIGNS LLC,419 29TH ST,932-840-98,4579000.0,08/31/2022,76-6174 ALII DR,KAILUA KONA,,,,,,,ON THE EDGE DESIGNS LLC,KAILUA KONA,HI,12900.0,4241597202,Paid in Full,Bank of Hawaii,HONOLULU,HI,04/27/2020
COVE CAPITAL LLC,2230 PACIFIC AVE APT A,935-840-24,3400000.0,06/29/2023,172 SIDNEY BAY DR,NEWPORT COAST,,,,,,,"COVE CAPITAL, LLC",Boca Raton,FL,8750.0,2590997900,Paid in Full,Celtic Bank Corporation,SALT LAKE CITY,UT,06/12/2020
DEVPRI HOSPITALITY LLC,16220 PACIFIC COAST HWY,178-581-12,1700000.0,04/21/2016,16555 PACIFIC COAST HWY,SUNSET BEACH,,,,,,,DEVPRI HOSPITALITY LLC,Sunset Beach,CA,67100.0,1538328609,Paid in Full,PCB Bank,LOS ANGELES,CA,03/13/2021
DEVPRI HOSPITALITY LLC,16220 PACIFIC COAST HWY,178-581-12,1700000.0,04/21/2016,16555 PACIFIC COAST HWY,SUNSET BEACH,,,,,,,DEVPRI HOSPITALITY LLC,SUNSET BEACH,CA,47900.0,9612627005,Paid in Full,PCB Bank,LOS ANGELES,CA,04/09/2020
DAYAL LLC,8491 ATLANTA AVE # 201,151-105-29,1500000.0,03/26/2019,8120 WAGON WHEEL CT,ROSEMEAD,,,,,,,DAYAL LLC,CHECOTAH,OK,9750.0,4824057206,Paid in Full,Armstrong Bank,MUSKOGEE,OK,04/27/2020
GFM INVESTMENTS LLC,1119 FLORIDA ST,025-162-18,1465000.0,06/11/2019,4825 MAGNA CARTA BLVD,GRAND PRAIRIE,,,,,,,"GFM INVESTMENTS, LLC",MEMPHIS,TN,19128.0,6939137401,Paid in Full,"Bank of America, National Association",CHARLOTTE,NC,05/15/2020
POINTFAR AUTOMATION LLC,16655 PACIFIC COAST HWY,178-523-09,1400000.0,03/10/2026,18710 VINTAGE ST,NORTHRIDGE,,,,,,,POINTFAR AUTOMATION LLC,NEW HALL,CA,8500.0,5004257304,Paid in Full,US Bank National Association,San Francisco,CA,04/30/2020
POINTFAR AUTOMATION LLC,16655 PACIFIC COAST HWY,178-523-09,1400000.0,03/10/2026,18710 VINTAGE ST,NORTHRIDGE,,,,,,,POINTFAR AUTOMATION LLC,Santa Clarita,CA,2865.0,1759849002,Paid in Full,"Leader Bank, National Association",ARLINGTON,MA,05/13/2021
SDM HOLDINGS LLC,16541 LOIRE CIR,142-171-04,1300000.0,04/09/2025,1 COTTONWOOD,NEWPORT COAST,,,,,,,SDM HOLDINGS LLC,CASTLE PINES,CO,24737.0,7204507104,Paid in Full,Cross River Bank,TEANECK,NJ,04/14/2020
SDM HOLDINGS LLC,16541 LOIRE CIR,142-171-04,1300000.0,04/09/2025,1 COTTONWOOD,NEWPORT COAST,,,,,,,SDM HOLDINGS LLC,Castle Pines,CO,19791.67,5066158605,Paid in Full,Parkside Financial Bank & Trust,CLAYTON,MO,03/20/2021
HB LLC,9472 RAMBLER DR,149-053-07,1127000.0,06/04/2019,16340 75TH PL W,EDMONDS,,,,,,,HB LLC,Long Beach,CA,146130.0,7285768403,Paid in Full,East West Bank,PASADENA,CA,02/11/2021
